id;name;phone;address;pending_amount;active
1;behind physical late;901.268.2182 x20667;vainly whether;6316.48;false
2;prickly minor lay;877-496-5190 x28383;instead conservative till;1914.01;true
3;yesterday;(304) 237-9509 x504;save nudge;6274;false
4;astride habit pish;515.957.3219 x76398;beneath scented detain;11979.52;true
5;crowded gadzooks;(493) 361-5109 x3008;absent;7718.36;true
6;reporter surprised huzzah;(637) 668-7111;offensively excluding colorfully;5991.51;false
7;merrily gosh;781-277-6334 x622;larva championship;32282.45;true
8;if;1-807-730-9533 x1306;shirk;2205.55;false
9;psst;(995) 928-9121;wherever;6178.37;true
10;speedily;268.840.0163 x348;frugal with;30659.03;true
