id;name;phone;designation;salary;joining_date;active
1;neat impish beyond;(571) 442-9019 x402;colon coin;26192.58;2026-05-20T05:04:39;false
2;hm sock;445-954-6123 x863;mount yet glittering;29881.59;2026-05-19T20:58:13;true
3;by;782.592.1277 x05918;throughout;28233.43;2026-05-20T01:06:52;false
4;cripple;(867) 471-1524;negative;3351.1;2026-05-20T13:16:53;true
5;ferociously;710-618-1058 x52808;past ah;16229.95;2026-05-19T21:53:48;false
6;ugh;1-283-439-0096;amid loftily eek;30509.54;2026-05-20T09:53:09;true
7;part;852-220-6972 x0742;besides;565.84;2026-05-19T21:10:07;true
8;hm;1-397-392-8146;snuggle gadzooks general;9056.81;2026-05-20T13:13:50;true
9;consign gee;863-708-6468;considering commemorate gosh;29233.3;2026-05-20T00:18:28;true
10;ugh;(469) 920-3372 x3010;squid terraform needy;5708.86;2026-05-20T14:32:15;true
